Start;End;Minutos;Rental place;Return place
10/10/2025 16:17;10/10/2025 16:34;17.22;Ayuntamiento;Cabildo de Gran Canaria
10/10/2025 19:36;10/10/2025 19:58;22.75;Teatro Pérez Galdós;Oficina de la Sitycleta
13/10/2025 20:45;13/10/2025 21:02;17.22;San Telmo;Torre Las Palmas
13/10/2025 21:08;13/10/2025 21:29;20.25;Torre Las Palmas;Torre Las Palmas
14/10/2025 09:00;14/10/2025 09:28;28.50;Torre Las Palmas;Parque Santa Catalina
14/10/2025 09:29;14/10/2025 09:37;7.98;Parque Santa Catalina;Torre Las Palmas
14/10/2025 21:19;14/10/2025 21:34;14.43;San Telmo;Torre Las Palmas
15/10/2025 20:27;15/10/2025 20:41;14.48;Teatro Pérez Galdós;Oficina de la Sitycleta
16/10/2025 20:59;16/10/2025 21:16;16.40;Teatro Pérez Galdós;Torre Las Palmas
17/10/2025 10:05;17/10/2025 10:28;23.38;Torre Las Palmas;Torre Las Palmas
17/10/2025 14:17;17/10/2025 14:33;16.18;Plaza de la feria;Parque del Estadio Insular
20/10/2025 19:42;20/10/2025 19:59;17.12;Venegas Usos Múltiples;Base Naval
21/10/2025 21:34;21/10/2025 21:54;20.05;Plaza de la feria;Torre de las Palmas
22/10/2025 19:20;22/10/2025 19:30;10.68;Plaza de la feria;Torre de las Palmas
24/10/2025 22:56;24/10/2025 22:59;2.35;Torre Las Palmas;Torre Las Palmas
24/10/2025 22:59;24/10/2025 23:06;6.25;Torre Las Palmas; Plaza O´Shanahann
25/10/2025 14:06;25/10/2025 14:15;8.87;Torre Las Palmas;Parque Santa Catalina
28/10/2025 12:44;28/10/2025 13:17;33.62;Torre Las Palmas;Torre Las Palmas
30/10/2025 20:13;30/10/2025 20:24;11.32;Venegas Usos Múltiples;Torre Las Palmas
03/11/2025 10:26;03/11/2025 10:36;9.95;Venegas Usos Múltiples;Torre Las Palmas
03/11/2025 15:23;03/11/2025 15:42;18.55;Torre Las Palmas;Teatro Pérez Galdós
03/11/2025 19:58;03/11/2025 20:19;20.83;Plaza de la feria;Torre Las Palmas
04/11/2025 12:35;04/11/2025 12:59;23.55;Torre Las Palmas;Torre Las Palmas
04/11/2025 21:26;04/11/2025 21:39;12.98;San Telmo;Torre Las Palmas
05/11/2025 13:31;05/11/2025 14:05;34.42;Ayuntamiento;Torre Las Palmas
10/11/2025 13:14;10/11/2025 13:29;15.28;Torre Las Palmas;San Telmo
10/11/2025 13:31;10/11/2025 13:37;6.27;San Telmo;Teatro Pérez Galdós
10/11/2025 18:29;10/11/2025 18:51;21.67;Teatro Pérez Galdós;Base Naval
11/11/2025 09:36;11/11/2025 09:42;5.52;Torre Las Palmas;Oficina de la Sitycleta
11/11/2025 21:20;11/11/2025 21:39;18.20;San Telmo;Parque Santa Catalina
